permutation,analysis,null_type,bin_id,x_mean,y_mean,y_sem,count
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,0.027692508563189812,0.011819619815149026,0.012037815718182394,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,0.08365618341477508,0.011363642594832728,0.012242361393438077,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,0.1391820452203094,0.028529937168823526,0.012677473923234974,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,0.1940834122748777,0.0028968334928319004,0.01214326429734364,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,0.24812998824905336,0.0077745110749585546,0.012090303960524485,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,5,0.30006722763778193,0.007672859672450642,0.012157081389331088,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,6,0.35170527625836523,0.01466222993958715,0.012213933555514858,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,7,0.40029613496642785,0.02808383093010421,0.01259830002804051,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,8,0.44826749932633464,0.014868517154416906,0.01207472328550017,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,9,0.4947345758408317,0.018561503670292717,0.012181205251619757,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,10,0.5391870456231196,0.023925197818626304,0.012280888676616013,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,11,0.5822113448027758,-0.013399631567142238,0.011870275934415506,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,12,0.6250525736795464,-0.004790786714542693,0.012195983067386567,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,13,0.6664595203502504,0.007242332744910373,0.012042098518837266,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,14,0.7069236132910707,0.0003772524054677267,0.012306640927941708,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,15,0.7475454967205692,0.0029482894244789335,0.011934637533801817,4337
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,16,0.788134919752812,-0.044403512104666754,0.011553043743751929,4336
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,17,0.831609278442182,-0.03228723896136062,0.011450880422395292,4336
1,herb_herb,embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,18,0.8808265349219757,-0.024594645660892308,0.01161827920986583,4336
